,Year,Recommendations
10,2007,"recommendation 1 va establish the feasibility of implementing a cooperative agreement with the alaska native tribal health consortium anthc ; alaska tribal health system; alaska area native health service; indian health service ihs ; alaska native medical center anmc ; southcentral foundation scf to provide all services which fall within the purview of vba and vha. this would include the following actions e va reimburse those entities, through anthc, for all services rendered to alaska native veterans. e va conduct a feasibility study to examine whether the anthc can provide same services that can be offered to the general veteran population non alaska natives whichmonthbe located in close proximity to rural areas and villages throughout the state of alaska. e va develops, coordinates, and submits all legislative initiatives for enactment of cooperative agreements, and or elimination modifications of statutes, which might impede the establishment and or consummation of those agreements. e va recognize the influence and importance of alaska native elders and that va coordinates with and secures the approval of these elders before finalizing and implementing cooperative agreements.&&recommendation 2 secretary and deputy secretary encourage va leadership officials to utilize all available means i.e. internships, mentoring programs, executive career field training programs, leadership va, ses candidate development program to promote the career development of va minority and female employees. the ultimate goal will be to increase the number of va minority group employees in leadership positions throughout the department. 33.&&recommendation 3 vas outreach programs are extended and or modified to include all means and processes to advise minority veterans of their entitlements and the office of national outreach program coordination provides the committee a report reflecting actions initiated to date.&&recommendation 4 va ensures that translation services are available in va facilities through either the services of employee translators or contract services. this will ensure that patients rights and responsibilities functions normally assigned to vha are being addressed.&&recommendation 5 the current appointment processes and procedures contained in vha directive year 055, vha outpatient scheduling processes and procedures, be adhered to by the alaska vamc and other vha facilities to ensure that veterans are not penalized unfairly, and that veterans needs for health care services are fully met. this could be monitored during reviews under the current soars process.&&recommendation 6 va, under the vas state cemetery grants program, facilitate discussions with the government officials of the state of alaska and alaska native tribal leaders to explore the possibility of establishing additional veterans cemeteries on either state or tribal lands.&&recommendation 7 va expeditiously complies with the va acting general counsel opinion, subject webcims 372917 collection of veterans ethnic and racial demographic data, datedmonth2, year.&&recommendation 8 the center for minority veterans cmv provides information on their budget, employee resources, and accomplishment of their performance measures to the committee during the next washington, dc meeting.&&recommendation 9 cmv consider the necessity for sponsoring a minority veterans national conference or summit to provide outreach and veterans benefits and assistance information to minority veteran conference attendees and address concerns and issues adversely affecting minority veterans.&&recommendation 10 va analyze their reported va workforce minority employee statistics to ensure that they are consistent with the office of personnel management opm reporting of workforce minority employee statistics and ensure the accuracy and sustainability of conclusions concerning senior staff representation of va minority workforce.&&recommendation 11 replicate the ongoing initiative va has with the elmendorf air force base hospital in fairbanks alaska with the u. s. army. 37.&&recommendation 12 va develops and implements a tribal veterans representative tvr program in alaska.&&recommendation 13 the alaska va regional office should partner with the indian health services ihs to provide outreach to alaska natives."
11,2008,"recommendation 1 promote culturally and geographically relevant outreach programs and efforts throughout the va by increasing and funding more full time minority veterans program coordinator mvpc positions in areas where there is a large minority veteran population. currently four full time mvpc positions, out of approximately 300, are funded.&&recommendation 2 the acmv recommends that the secretary direct vha, vba and nca to designate the minority veteran program coordinators as full time positions at the vamc, varo and msn levels; and that funding for those positions be the responsibility and purview of each agency.&&recommendation 3 improve transition processing for reserve and national guard personnel returning from deployments.&&recommendation 4 increase outreach, responsiveness, and formal consultation with tribal governments and tribal leaders, particularly in the field. this issue has been the subject of several presidential addresses o richard m. nixon, 1970 special message to the congress on indian affairs, o ronald reagan, 1983 statement on indian policy, o george h.w. bush, 1991 statement reaffirming the government to government relationship between the federal government and indian tribal governments, o william j. clinton, executive memorandum month 1994 , government to government relations with native american tribal governments, and executive order 13175 month year , consultation coordination with indian tribal government, o george w. bush, executive memorandum month year , government to government relationship with tribal governments.&&recommendation 5 creating awareness of policy on immigrant veterans benefits and helping to fast track them into citizenship, where appropriate.&&recommendation 6 support alaska natives and native americans veterans and their families needs for burial at homeland locations.&&recommendation 7 the secretary and deputy secretary mandate that all va leadership officials performance be evaluated on their implementation of programs designed to reflect their total commitment to increasing the number and mix of minorities at the senior staff level. concurrently, that performance bonuses be linked to va leadership officials successes in having the work force mirror the population being served and that va leaders be encouraged to reflect in their performance plans active programs that promote employee diversity.&&recommendation 8 in order to improve and achieve the representation of minorities on senior staff level, the acmv recommends that the secretary establish clear goals, and metrics for their achievement, to be used as factors in the performance evaluations of senior ranking officials in the three va administrations.&&recommendation 9 the secretary and deputy secretary mandate va leadership officials to utilize all available means internships, mentoring program, executive career fields training program, leadership va, ses candidate development program to promote the career development of va employees. the ultimate goal is to increase the number of va minority group employees in leadership positions throughout the va.&&recommendation 10 va establish a tracking system for all programs internships, mentoring program, executive career fields training program, leadership va, ses candidate development program to identify total number and mix of candidates; and that such data includes the number of minorities, which are within the purview of the acmv.&&recommendation 11 vas internal and advisory committees should include minority members of equal rank and stature as other members reflective of the veteran population being served.&&recommendation 12 va establish and monitor intensive training program for senior va leaders, managers, and their staff, on cultural diversities and language competencies within the veteran population being served.&&recommendation 13 va employs or trains personnel to be conversant in the predominant language or dialect within its sphere of influence and or operation in order to assure the highest level of customer service.&&recommendation 14 that the va analyze its reported va workforce minority employee statistics to ensure that they are consistent with the office of 37 personnel management opm reporting of workforce minority employee statistics, to insure that accurate conclusions concerning va minority workforce representation can be drawn from the reported va workforce minority employee statistics.&&recommendation 15 the secretary directs vha, vba, and nca to collect demographic data throughout the va, in accordance, with the va acting general counsel opinion, subject webcims 372917 collection of veterans ethnic and racial demographic data, datedmonth2, year, and inform the acmv, on the status of the demographic data collection, by the next acmv meeting in washington, dc.&&recommendation 16 the acmv recommends that the secretary establish uniform criteria for the compilation of racial and ethnic data and that he direct that such information be collected by vha, vba and nca in order to generate useful metrics for self improvement.&&recommendation 17 that the department of veterans affairs expeditiously implements the va acting general counsel opinion opinion , datedmonth2, year, which requires the va to collect ethnic and racial demographic data, from the veteran population that it serves, by voluntary self identification.&&recommendation 18 vha provide information that reflects if minority veterans are identified with having ptsd or other diagnoses in percentages proportional to their military population.&&recommendation 19 vha establish joint venture with dod and academia to establish work centers of excellence for mental health issues addressed by the acmv.&&recommendation 20 va shall incorporate relevant acmv recommendations into the va wide strategic plan. in coordination with the secretary or deputy secretary designated va staff and office, the acmv will identify issues which are relevant for all minority veterans, including women, and submit those issues for incorporation in the va wide strategic plan.&&recommendation 21 that the center for minority veterans cmv provide information, on the cmv budget, employee resources and accomplishment of cmv performance measures to the acmv, during the acmv annual meeting, in washington, dc.&&recommendation 22 that the center for minority veterans consider the necessity for sponsoring a minority veterans national conference or summit to provide outreach and veterans benefits and assistance information to minority veteran conference attendees, and address concerns and issues adversely affecting minority veterans."
12,2009,"1. promote culturally and geographically relevant outreach programs and efforts throughout the va by increasing and funding more full time minority veterans program coordinator mvpc positions in areas where there is a large minority veteran population. note the committee strongly recommends that it is imperative that mvpcs attend monthly training meetings teleconferences. the secretary should express his support of this recommendation in a va wide memorandum. where there are 30 or more minority veterans in their catchment area i.e. los angeles vamc 44 , chicago vamc 56 , houston vamc 43 , new york city vamc 42 and hampton vamc 35 . the committee strongly recommends that va leadership support the outreach initiatives reflected in the mvpc handbook 0801 that provides structural guidance on how to support the mvpcs, time needed to participate on monthly teleconference calls, and funding necessary to attend biennial mvpc national training conferences.&&2. establish an enduring strategic communication plan to emphasize the post 9 11 veterans education assistance act of year; executive order 13360, contracting with service disabled veterans businesses; p. l. 109 461, the veterans benefits healthcare and information technology act of year; the center for veterans enterprise cve ; the wwii filipino veterans equity compensation fund; and other veteran empowerment programs that emphasize minority veterans.&&3. stress collaborative efforts among state directors and commissioners of veteran affairs in preparing vas biennial report to congress for all outreach activities.&&4. all va outreach activities should follow an integrative approach.&&5. the director of the washington, d.c. va medical center and the director of the washington, d.c. va regional office must hold scheduled town hall meetings in order to enable minority veterans in the washington, d.c. area to provide feedback on their issues.&&6. vha, vba, nca and office of policy planning opp must utilize common racial and ethnic categorical data in gathering specific information from available sources modialities in order to conduct demographic analysis. this should include the following a. track utilization of benefits of unique users by racial and ethnic groups in the same manner that va tracks utilization by gender and period of service. va response concur in principle. currently, nca does not track racial and ethnic data of minority veterans that claim benefits. nca will strategize and develop a method to capture this type of data to conduct demographics analysis. in year, the capture of race ethnicity information on veterans enrolling and using va health care services was modified in accordance with office of management and budget omb directive 15. as a result, va implemented changes to reflect the new omb race categories, moved from observe reported to self reported data collection and allowed selection of multiple race codes all page 17 of 56 consistent with omb direction . vha collects information on race and ethnicity as self reported by the veteran through the enrollment process 10 10ez form and in veterans health information systems and technology architecture vista by vamc staff. these data are voluntary fields of information provided by the veteran and reflect the standard categories as defined by omb. with enhancements to information technology systems and further collaboration with the department of defense, vba plans to capture racial or ethnic status through either self identification or authoritative electronic means, including data transfers. while opp does not collect data, opp concurs with the recommendation regarding the importance of gathering and analyzing race and ethnicity data. though limitations exist, opps national center for veterans analysis and statistics ncvas mines defense manpower data center dmdc databases to affect departmental needs and requirements. to that end, ncvas can take the lead in using dmdc data sources to provide reports on the reliance of minority veterans on department of veterans affairs vas portfolio of benefits and services. b. track priority 8 enrollment of minority veterans by encouraging these veterans to self identify in accordance with race classification as defined by omb. c. track new post 9 11 gi bill enrollment of minority veterans by encouraging these veterans to self identify in accordance with race classification as defined by omb.&&7. va must continuously promote contract opportunities for veteran owned small businesses vosb and service disabled minority veterans, and train a diverse workforce of acquisition professionals.&&8. develop and implement a concerted recruitment strategy to improve the currently under represented groups. page 19 of 56 note the committee was concerned about the disparity in the data with hispanics and native americans. at the end of fy year, va had a work force of 2 ,568. among this number, all race, national origin and gender groups are represented in va above their respective levels in the civilian labor force clf except for white women and hispanic men and women. white women represent 35.64 of vas work force compared to 47.87 in the clf. hispanic men represent 3.20 and hispanic women represent 3.52 or a combined 6.72 of vas work force compared to 13.2 clf.&&9. publish an annual status report on the departments progress in accordance with vas diversity and inclusion strategic plan year year as explicitly stated by secvas memorandum datedmonth22, year.&&10. expand the community prosperity partnership program cpp .&&11. improve career development programs by targeting newly promoted gs 11 and above grade employees to prepare them for senior management positions.&&12. develop and implement a strategy to conduct formal consultation with tribal governments whom the u.s. government recognizes as sovereign nations , tribal leaders, and native american communities. several presidential addresses state that before a government agency develops, edits, or implements any programs or services, they must consult with tribal governments.&&13. establish an office of indian affairs charged with communications, consultation and monitoring of the implementation of programs or services which directly affect native americans. page 25 of 56.&&14. va should continue to ensure that vas internal advisory committees include minority members who are reflective of the veteran population and their families being served to date."
13,2011,"1. establish hiring and retention strategies and increase recruitment of minorities to improve minority representation within the senior executive service ses ranks by year, with a goal of attaining a significant increase in minority representation within the ranks of the ses within the department by year.&&2. review the current diversity and inclusion training and update the training modules, by the end of fy year, to include the topics of cultural competence and emotional intelligence to ensure that they are relevant to address the diversity and inclusion challenges that are present in the va.&&3. evaluate the effectiveness of outreach methods to minority communities conducted by individuals other than minority veterans program coordinators mvpcs by the end of fy year, and develop and implement an action plan in fy year to increase market penetration in targeted minority communities.&&4. develop and implement an action plan to increase the utilization of minority veterans program coordinators mvpcs in all departmental targeted outreach activities to minority communities by 1st quarter fy year. that mvpcs spend 18 an average of 25 hours per month on targeted outreach activities to minority veteran communities with a goal of increasing the percentage of minority veterans contacted to 60 .&&5. develop and implement, based upon input from minority veteran focus groups, a culturally relevant communications strategy, by the end of fy year, to promote awareness of va benefits and services to targeted communities.&&6. that the veterans health administration office of rural health perform a comprehensive needs assessment to determine the impact of transportation barriers on the health of minority veterans residing in rural, highly rural, and frontier areas.&&7. develop an action plan to increase access to va programs and services vha vba nca , and facilities for veterans living in rural and outlying territories insular areas by 2nd quarter fy year.&&8. develop a plan by the end of fy year to implement where applicable the seventeen recommendations to donor agencies resulting from the department of interior insular area health summit month year° pages 75 and 76 of report , and report progress on the plan to the acmv during its annual meetings in washington, d.c. beginning with the month year acmv meeting. u.s. department of the interior doi . future of healthcare in the insular areas summit. retrieved may 12, year. http www.doi.gov oia firstpginfo health_summit documents entire 20report_insular 20area 20healt h 20summit 20report. pdf. 29.&&9. develop and implement by the end of fy year strategy to enact guidelines in accordance with the department of health and human services hhs national partnership for action npa plan to end health disparities, inclusive of holistic approaches to treating veterans.&&10. establish an office of health equity ohe similar to the offices of minority health omh within the department of health and human services hhs . the ohe would incorporate the omh mission of improving health outcomes impacted by racial ethnic differences, in addition to gender specific initiatives currently the responsibility of the va office of womens health owh , and also focus on the possible effects on clinical outcomes due to veterans sexual orientation.&&11. develop an action plan by the end of the first quarter of fy year witha goal of effecting a meaningful reduction in racial disparity among active patients enrolled in the va healthcare system. a pilot should focus on reducing disparities in clinical outcomes such as blood pressure, glucose, and cholesterol control, at va healthcare facilities with high concentrations of african american veterans, as well as sites of high hispanic latino, and native american alaska native populations.&&12. increase funding to collaborative partnerships, with community based organizations cbos and non government organizations ngos that provide assistance to homeless veterans. this funding should enable more mental health programs and supportive services for low income targeted minority veterans, regardless of gender in order to reduce minority veteran homelessness by 25 by the end of fy year.&&13. propose legislation that will change the requirement for an annual report from the acmv to a biennial report. 39."
14,2012,"recommendation 1 the veterans of insular areas of the pacific guam, samoa, etc. have the option of receiving specialty care in the philippines rather than at the tripler medical center in hawaii.&&recommendation 2 the office of health equity ohe conduct ongoing monitoring of the effect cultural competence training has on patient satisfaction scores, patient compliance with clinical treatment plans, clinical outcomes, and establish best practices based on this evaluation.&&recommendation 3 the acmv recommends that as part of routine clinical assessments, va clinical providers review the treatment provided to patients with long term diagnosis problem list item of ptsd to ensure they have received treatment for that illness within the last two years.&&recommendation 4 incorporate current design solutions to include planetree design, privacy, and family friendly components found in department of veterans affairs, office of construction and facilities management va ocfm interior design manual for new construction and renovations of hospital and clinics, year into the minimum standards for cboc operations, in vha handbook 1006.1, paragraph 6.&&recommendation 5 the office of health equity ohe monitor the utilization of the va caregiver program with the goal of ensuring that the utilization of the program by veterans and their family members is reflective of the demographics of the veteran population race ethnicity, gender, rural, highly rural, period of service, etc.&&recommendation 6 the va caregiver support website http www.caregiver.va.gov, support materials such as fact sheets describing eligibility criteria and benefits, and caregiver program satisfaction surveys should be translated into spanish and other languages based on need by the end of 1st quarter year to ensure that non english speaking family caregivers have access to this information and can provide feedback on the program.&&recommendation 7 utilize the houston veterans affairs regional office varo as the model for claims transformation express lanes processing program throughout veterans benefits administration vba .&&recommendation 8 va officials from the three administrations should ensure that veterans demographic data made available from local va minority veterans program coordinators mvpcs is utilized by local individuals conducting outreach to conduct targeted outreach to all identified ethnic veteran populations in their catchment areas.&&recommendation 9 va regional administrators should monitor staff recruitment efforts with a goal of hiring staff that are diverse and reflective of the veteran population.&&recommendation 10 vba should consider dedicating regional staff to review applications for the va home loan guaranty program to ensure that lenders are not charging veterans unauthorized fees.&&recommendation 11 the visn 17 network veteran advocate initiative is an outstanding example of the department of veterans affairs of how the va strives to be people centric, results driven, and forward looking. this regionally directed program should be adopted by the va as a best practice and utilized throughout the department."
15,2013,"recommendation 1 that the va establish a standard that requires minority . veterans program coordinators mvpcs in catchment areas that are comprised of large minority veterans population of 30 or more, to perform a minimum of 20 hours of targeted outreach in minority communities per month. mvpcs in catchment areas with smaller minority veterans populations of 25 or less are required to perform a minimum of 10 hours of targeted outreach per month, as defined by va mvpc handbook 08074, by the end of fiscal year 2074.&&recommendation 2 that the va address the significant minority employee grade disparity in the gs gm 11 15 pay grades, title 38 equivalent pay levels, and ses positions by the end of fiscal year year.&&recommendation 3 that the va implement a cultural competency training program for all mental health providers by the end of fiscal year year.&&recommendation 4 that the va office of human resources and administration develop a methodology to determine the reasons causes of removals terminations regrettable losses of recently hired minority veterans by the end of fiscal year 2074.&&recommendation 5 that va expedite the collection and analysis of demographic data on minority veterans to determine if disparities exists in the top five claimed conditions, grant rate for disability claims, and percentages of disability granted, and publish a report similar to the review that was recently completed on women veterans by year."
16,2014,"recommendation 1 that the va establish a standard that requires the minority veterans program coordinators mvpcs program in catchment areas that are geographically extended over 200 miles, to assign the appropriate percentage of duties to an employee s in vha and vba facilities outside of the respective host va regional office varo and va medical center vamc locations.&&recommendation 2 that the va implement a cultural competency training program for all mental health providers and veterans service representatives by the end of fiscal year year. ,.&&recommendation 3 that the va update the schedule for rating disabilities part 4, title 38 code of federal regulations to accommodate medical research on symptomatology of certain medical conditions which have particular application to minority veterans of differing cultures.&&recommendation 4 that the va direct all va national cemeteries to prominently display the district of columbia and insular flags of all united states territories as they do flags from the 50 states.&&recommendation 5 recommend that vha provide the office of health equity ohe with a budget that allocates adequate funding to support projects that align with achieving ohe mission and goals.&&recommendation 6 recommend that the veterans heaith administration conduct an assessment of the impact that prolonged clinic wait times have had on access to care by minority veterans at selected facilities with large minority veteran populations. 8 part hl."
17,2015,"recommendation 1 that va enhance its existing data collection processes to include the reporting of race ethnicity data for all benefits and utilization programs to ensure the identification of delivery gaps and potential disparate levels of service.&&recommendation 2 that va accelerates efforts to improve the diversity of the workforce at the gs 14, gs 15, and ses levels by establishing benchmarks when possible, and utilizing established diversity management practices. ,.&&recommendation 3 that va develops an insular catchment area plan that includes service delivery initiatives and benchmarks for the pacific rim, puerto rico, and the us virgin islands.&&recommendation 4 that nca specify on its website availability of burial space by type and . eligibility groups for each cemetery location to enhance the awareness level of burial benefits for minority veterans by the end of fy year. , part iii."
18,2016,"recommendation 1 that the department of veterans affairs executes a contract to publish a report which reflects current utilization of va benefits and services, and disability compensation awards by race, ethnicity, and gender by the end of fiscal year year.&&recommendation 2 that the vha office of heaith equity ohe be restored to its original eight full time equivalent fte staffing level by the end of calendar year year.&&recommendation 3 that the national cemetery administration implement a targeted burial benefits outreach program to eligible spouses, and dependent children of veterans to increase their awareness of their eligibility for burial benefits by the end of fiscal year year. 6 part iii."
19,2017,"recommendation 1 that the department of veterans affairs collect and analyze race and ethnicity data across all business lines to identify, monitor, and address potential disparities that effect minority veterans by the start of fy 2078.&&recommendation 2 that the department of veterans affairs, veterans health administration, follows through on its commitment to provide the vha office of health equity ohe necessary personnel resources by the end of fy year to facilitate implementation of the va health equity action pian.&&recommendation 3 that the department of veterans affairs publish an update to the year health services research and development hsr d report entitied evidence brief update on prevalence of and interventions to reduce racial and ethnic disparities within the va to demonstrate the progress made to address the identified issues that impact minority veterans by the end of fy year.&&recommendation 4 that the department of veterans affairs ensure that the spanish language versions of the instructions for applications for va benefits and services are readily available, especially in areas of the country with high latino hispanic populations, to assist veterans and their family members seeking va benefits and services. , part iii."
20,2018,"recommendation 1 that the department of veterans affairs proactively develop comprehensive plans to provide access to health care services and benefits for all honorably discharged deported veterans bymonth2079.&&recommendation 2 that the department of veterans affairs require the veterans benefits administration to collaborate with the national center for veterans analysis and statistics to publish disability award reports bi annually to identify and address potential racial ethnic award disparities by the end of fy 2079.&&recommendation 3 that the department of veterans affairs, veterans health administration, follows through on its commitment to provide the vha office of health equity qhe necessary personnel resources by the end of fy year, to facilitate implementation of the va health equity action plan. ,.&&recommendation 4 that the department of veterans affairs, veterans benefits administration, develop a comprehensive communication plan to encourage minority veteran participation in the rapid appeals management process ramp by 2nd qtr., year. part iii."
21,2020,"recommendation 1 that va expand the telehealth capabilities to the compact of free association cofa nations, palau, the marshall islands and the federated states of micronesia by providing 1 the required bandwidth to allow access virtually as some of the islands do not have fiber optic connections; 2 provide island veterans with necessary hardware to include ipads, computers and all accessories to access telehealth services; 3 assign health care providers to veterans through telehealth; 4 provide and implement an expedited assessment on the possibility of fielding telehealth soon; 5 provide travel pay to appointments as other veterans in the u.s. receive this benefit; 6 provide uniform allowance renewal by teleconference; and 7 conduct semi annual town hall meetings for benefits. the time frame to complete the telehealth system package is 2 years, by the end of month year.&&recommendation 2 that vha track and report on the impact of covid 19 on minority veterans. specifically identify and address racial ethnic health disparities and will further categorize the impact of covid 19 on minority veterans by the era served.&&recommendation 3 that va require the national cemetery administration establish a minimum of four working agreements among institutions that serve the minority veteran population. nca should complete this recommendation by month 31, year with annual reports starting month 31, year. nca should publish results annually starting month 1, year.&&recommendation 4 that va modify the following forms to capture race and ethnicity information on applications for nca va form 21p 530, apr year application for burial benefits; va form 40 1000 pre need determination of eligibility for burial; va form 27 year,monthyear application for united states flag for burial purposes; and va form 21 534ez application for dic, survivors, pension and or accrued benefits. nca should complete this recommendation by month 31, year with annual reports starting month 31, year. nca should publish results annually starting month 1, year. page 6 of 44 part iii."
