PageNumber,ReportText,IsTableOfContents,IsCoverPage,DocumentBegin,IsAttatchment
143,"Number 6. Acting Under Secretary for Health establish an inpatient
PTSD program in Puerto Rico for veterans residing in the Caribbean region.
Number 7. Director, San Juan VAMC, initiate a project to relocate the Spinal
Cord Injury Unit from the third floor to the main floor of the Medical Center.
Number 8. Directors of the San Juan, Regional Office, and the San Juan Medical
Center, establish mandatory cultural sensitivity training for employees at their
facilities. The Assistant Secretary for Human Resources and Administration and the
Director, VA Center for Minority Veterans, should assist in the development and
implementation of the training.
Number 9. Under Secretary for Benefits authorize an increase in staffing for the
San Juan Regional Office to handle the high volume of medical reimbursement
claims.
Number 10. Director, San Juan Regional Office, and Director, San Juan VA
Medical Center, conduct more veterans information forums and town hall meetings
in both Puerto Rico and the USVI. The MVPCs at these facilities should be an
integral part of the planning and actual execution of town hall meetings and
information forums.
Number 11. Director, VAMC San Juan, appoint a working group to address and
resolve the concerns of blind veterans. The working group should also focus on
recommending the best location for Ophthalmology services for blind veterans who
reside in Puerto Rico.
Number 12. Under Secretary for Benefits comply with the provisions of Public Law
105-297 and implement an effective outreach program to support the Native
American Direct Home Loan Program. In this regard, Minority Veterans Program
Coordinators should be used to assist veterans.
Number 13. Congress of the United States pass legislation to provide equitable VA
benefits to World War II Filipino veterans who reside in the United States.
Number 14. Under Secretary for Benefits initiate a review of the Vocational
Rehabilitation Program in the Caribbean. Particular attention should be focused on
improving program outcomes and effectiveness with regard to job placement of
veterans who are declared job ready.

20
",0,0,0,0
144,"APPENDIX A
Advisory Committee on
Mhnority Veterans
Biographical Sketches
= Cavanaugh, Shirley R. Pacific Island — Japanese American
Ms. Cavanaugh has extensive experience in community relations, media
relations, governmental relations, special events and employee communications.
She is currently serving as the Communications Director, Office of the President,
Hawaii State Senate. She was appointed to the Hawaii Governor’s Advisory
Board on Veterans Services from 1993 to 1997 and served as the Board’s
chairperson from 1995 to 1997. She served in the U.S. Air Force from 1967 to
1990, retiring as a Lieutenant Colonel. She is member of the Outreach
Subcommittee.
""= Davila, Antonio Hispanic American
Mr. Davila has served as the Executive Director, Delaware Commission of
Veterans Affairs, since 1991. He is the immediate past President of the National
Association of State Directors of Veterans Affairs. He has a Master's Degree in
history with a concentration in Latin American Studies. Mr. Davila acquired
experience as an Equal Employment Opportunity specialist in Worcester Public
Schools, Worcester, MA. He has taught English, History and Spanish language
courses at several colleges and public school systems. He served on active duty
in the U.S. Air Force from 1964-1968 (Vietnam Era). He has also served in the
Massachusetts Army National Guard (1977-1980) and the United States Army
Reserves (USAR) (1980 to 1998). Mr. Davila is a member of several Veterans
Service Organizations and the Benevolent and Protective Order of Elks. He is
currently pursuing a Ph.D. in Administration and Management from Columbia
Pacific University, Novato, California. He is a member of the Subcommittee on
Benefits and Compensation.
="" Doria, Manuel T. Asian American - Filipino

21
",0,0,0,1
145,"Mr. Doria enlisted in the United States Navy in the Philippines and retired as a
Lieutenant with 23 years of service. He is a graduate of the National University
in San Diego with a Master’s Degree in Business Administration and Public
Administration. He was President of the Philippine-American Community of San
Diego County. In San Diego, he was Special Assistant in Congressman Filner’s
District staff where he coordinated the Veterans’ Forum of Congressmen Bob
Filner, Lane Evans, and Sonny Montgomery and Secretary of Veterans Affairs,
Jesse Brown. He serves as the Chairman of the Subcommittee on Benefits and
Compensation.
= Foster, Talmadge C. African American
Mr. Foster is an Army veteran who served in the military from 1952 to 1955 and
1960 to 1969. He organized, planned, and administered the Alabama Veterans
Leadership Program (AVLP). AVLP is a non-profit organization that recruits,
counsels, trains, and supervises unemployed veterans and provides job
placement and referral services. He has served as a member of the Alabama
State Board of Veterans Affairs. He is a member of the Subcommittee on
Employment, Training and Rehabilitation.
= Gomez, Gumersindo Hispanic American
Mr. Gomez is a community activist, counseling psychologist, and veterans’
advocate. He is currently the Executive Director of the Puerto Rican Veterans’
Assoc. of Massachusetts, Inc. He has worked in the VA Vet Center program and
Spanish American Union as a caseworker. Mr. Gomez served 20 years in the
U.S. Army, retiring at the rank of First Sergeant. He is the Chairman of the
Subcommittee on Health Care.
= Gorden, Fred A. African American
General Gorden is a retired Army Major General with over 34 years of military
service. He is a Vietnam War veteran. He is a graduate of the United States
Military Academy, West Point, and has a Master’s of Arts Degree in Foreign
Language Literature. He serves on the Board of Directors, USAA Insurance
Company. He currently resides in the San Antonio, TX, metropolitan area. He is
a member of the Subcommittee on Benefits and Compensation.
= Hernandez, Joaquin Hispanic American

22
",0,0,0,1
146,"Mr. Hernandez ts a disabled Vietnam veteran who served honorably in the United
States Marines from 1968 to 1970. He has 27 years of senior level academic
administrative and teaching experience in higher educational institutions. He
currently serves as Affirmative Action/Staff Development Manager, San Diego
Community College District. In 1973, he served as the Director, Office of
Veterans Affairs, at the University of Northern Colorado at Greeley. He is the
Chairman of the Subcommittee on Employment, Training and Rehabilitation.
= Ivarra, Francisco F. Hispanic American
Mr. Ivarra is a disabled combat Vietnam veteran who was in the US Army,
serving from 1968 — 1970. He has extensive experience as a consultant on
diversity and has held numerous positions as an instructor and administrator in
the community college and university systems. He has an MA in Sociology from
Western Washington University. He is currently the National Commander for the
American GI Forum, serves on the State of Washington Governor's Veterans
Affairs Committee and is the Administrative Facilitator for the Seattle VARO
Minority Veterans Coordinating Committee. He is the Vice-Chairman of the
Committee.
» Jacobs, Jr., Mark Native Alaskan - Tlincet
Mr. Jacobs is a World War II veteran and a full-blooded Tlincet Indian. He was
born in Sitka, Alaska. He currently serves on the Veterans Affairs Committee of
the National Congress of American Indians. He is a life member of the American
Legion. He is a member of the Subcommittee on Outreach.
= Loudner, Don Native American - Sioux
Mr. Loudner is a 7/8 degree Hunkpati Sioux. He served in the United States
Army during the Korean conflict (1950 to 1952) and has 32 years of service in the
Army Reserves as a Chief Warrant Officer (CW4). He has worked at the Bureau
of Indian Affairs as the Agency Superintendent at the Yankton Sioux Indian
Reservation and served three years as the Commissioner of Indian Affairs for
South Dakota. He is currently a Commissioner on the South Dakota State
Veterans Affairs Commission. He serves as the Chairman of the Subcommittee
on Outreach.
= Metoxen, Gary Native American - Oneida
Mr. Metoxen is a career Navy veteran, retiring as a Chief Master Petty Officer.
He is the former Chairman of the Veterans Affairs Committee of the National
23
",0,0,0,1
147,"Congress of American Indians. He is also the Director of the Oneida Nation's
Veterans Affairs Office. He serves as a member of the Subcommittee on Health
Care.
= Price, George B. African American
General Price is a retired Army Brigadier General with over 27 years of military
service. After retirement from the active military, he worked in the
Telecommunications Industry, providing technical engineering services and
consulting services to clients. He is currently the personal manager of Opera
Diva, Leontyne Price. He has served as a board member for Boy Scouts of
America, Women's Vietnam Veterans Memorial, Vietnam Veterans Memorial
Fund and the ROCKS, Incorporated, a minority non-profit organization comprised
of active duty and former military officers. He is a member of the American
Legion, VFW, VVA, 9th & 10th CAV Association and the Harlem Education
Activities Fund (HEAF). He is Chairman of the Advisory Committee.

24
",0,0,0,1
148,"U.S. Department of Veterans Affairs
The Sixth Annual Report of the Advisory
Committee on Minority Veterans
July 1, 2000
",0,1,1,0
149,"LETTER OF TRANSMITTAL
The Honorable Togo D. West, Jr.
Secretary
Department of Veterans Affairs
810 Vermont Avenue, N.W.
Washington, DC 20420
Dear Secretary West:

It is an honor to submit the 6 Annual Report of the Advisory Committee
on Minority Veterans pursuant to § 544, Title 38, United States Code. The report
represents the views and consensus of the Committee on those issues affecting
minority veterans. As we have stated in previous reports, many of the issues we
have identified impact the entire veterans’ community, but the impact on minority
veterans is particularly acute and distressful. Our recommendations and
suggestions are designed to minimize or eliminate the distress through positive
actions that address the root causes of the problems. We view ourselves as
partners with the Department of Veterans Affairs (VA), working together to
remove barriers to minority veteran’s use of VA benefits, programs and services.
It is a pleasure to report that the Committee believes that it has inspired the
confidence of the Department's staff and field directors, as well as, the veterans’
population. We have tried to operate as members of the team aspiring to
propose well-thought out solutions to problems we have identified.

This report will focus primarily on the Committee’s visit to the Oneida
Nation in Green Bay, Wisconsin. Our visits are very valuable in
identifying/verifying problems as well as learning of programs and initiatives that
are working and are worthy of emulation. The Committee’s visit to the Oneida
Nation in Green Bay, Wisconsin was highly successful. We were very impressed
with the overall organization, partnerships, teamwork and mutual support of the
various veterans directors, organizations and individuals at every level in the
state of Wisconsin. Governor Thompson set a very positive tone for service and
support to veterans with his appointment of a State Secretary of Veterans Affairs
with an accompanying budget. He also appointed a tribal coordinator for the
Wisconsin Department of Veterans Affairs. This permits all claimants of funding
to know the budget cycle and thereby eases the administrative burden
associated with submitting budget requests. The details of our visit will be
discussed elsewhere in this report, but we thought the overall organization and
support were so innovative and so well executed that it merits highlighting in this
letter. The issue of service to veterans living is isolated areas remains a
problem. The Wisconsin initiatives, with adequate funding, may be a nation-wide
solution to this problem. They have used specially configured vehicles to take
service to the veterans. The only impediment is funds and weather.

2
",1,0,0,0
150,"We can say without fear of contradiction that much of the change in
attitude and confidence in this Committee stems from your support and the
positive action you have taken on our recommendations. For instance, your
memorandum regarding Minority Veterans Program Coordinators (MVPC) means
they have now come out of the closet and can help their activities achieve the
mission of support to veterans. It stimulated action at all levels and has been a
source of great relief to MVPCs. The same is true of providing them time to
attend important conferences organized and conducted by the VA Center for
Minority Veterans (CMV). Not everyone has responded but we are much further
ahead than we have been in the past.

We were delighted with your visit to our Committee and to receive
affirmation of your support and your guidance. We appreciate you taking time
from your busy schedule to speak to us. Your visit certainly confirms our
comment to new Committee members that you support our program and charge
us with keeping you and the Congress informed on important issues involving
veterans in general and minority veterans in particular. Our new Committee
members bring some much-needed expertise to the Committee and we
appreciate your rapid response to vacancies with new appointments.

This report represents the results of a comprehensive review of all issues
identified in previous reports and annotates those that remain unresolved. You
may be interested to know that since 1995, the Committee has submitted a total
of one hundred eleven (111) recommendations, of which only 18 remain
unresolved with five (5) having been forwarded to other Federal agencies. This
record could not have been achieved without outstanding support from you, the
Center for Minority Veterans and other VA staff and Federal agencies.

The foregoing achievement not-with-standing there remains a few issues
in the report that need highlighting in this letter. The issues are as follows:

e Puerto Rican Veterans Service. The plight of the Puerto Rican
veterans remains basically unchanged from that described in our
previous report. This issue needs to be resolved with priority. The
same is true of the Philippine veterans.

e The CMV continues to perform their duties in an outstanding manner.
Your authorization of additional positions will assist the CMV in
realizing its full potential. It also will help the Center be more
diversified. As we, the ACM\V, intensify our effort to achieve our
mission it would be helpful if the Center had one more position so a
staff person could be designated to support our Committee. The
workload certainly justifies this request.

e Indian Health Service has not been testing for HIV and Hepatitis C
infections because they don't have the funding to provide necessary

3
",1,0,0,0
151,"care to veterans who test positive. We urge you to work out a solution
to this problem with this agency.

e Outreach Programs. Outreach programs need a vast improvement
across the board. This area becomes more critical as we attempt to do
medical research in the minority community.

e Increase the pay scales for the Board of Veterans Appeals so they can
compete with other agencies for appeal judges—we need to at least
maintain parity with other agencies in our quest for talented Appeal
Judges.

Once again, the ACMV expressed its thanks and appreciation to all VA
staff for their cooperation and support. We are especially pleased with the
response to problems we have identified. Members of the ACMV are available
for special discussion necessitated by our recommendations.

Sincerely,
George B. Price
Chairman
4
",1,0,0,0
152,"TABLE OF CONTENTS
1 - Letter of Transmittal
2 - Table of Contents
3 Introduction
4 - General Overview
5 January 2000 Meeting
6 June 2000 Meeting
7 Report on Site Visit --Green Bay, Wisconsin
8 Status of Previous Report Recommendations
 Biographical Sketches
Appendix A -Committee
Appendix B Green Bay Meeting Agenda
Appendix C Green Bay Meeting Minutes
Appendix D Washington Meeting Agenda
Appendix E Washington Meeting Minutes

5
",1,0,0,0
153,"Report of the Advisory
Committee on Minority
Veterans
Sixth Annual Report
July 1, 2000
Introduction
The Committee continues working closely with the Center for Minority
Veterans to develop a coordinated response to the specific concerns of minority
veterans and to implement strategies to accomplish previously established goals,
which are to:
Review and analyze the effects of VA policies, programs and procedures
on minority veterans,
1. evaluate the needs of minority veterans,
2. develop an evaluation model to measure the effectiveness and efficiency
of the Department of Veterans Affairs, and
3. submit recommendations to the Secretary to improve the delivery of
benefits and services to minority veterans.
In order to accomplish these goals, the Committee identified and revalidated the
following objectives for fiscal years 1997 through 1999. In this regard, the
Committee must:
evaluate the health care issues and concerns of minority veterans with
emphasis on access, appropriateness, equity and quality of care;
evaluate the effectiveness of outreach programs and services; and
assess the availability of services that are provided to veterans using
information obtained from veterans service organizations, community
based organizations, tribal governments, and other traditional and
nontraditional practitioners who serve veterans.
6
",0,0,0,0
154,"General Overview

This is the Sixth Annual Report of the Advisory Committee on Minority
Veterans. The Committee conducted two mandatory meetings as required by
Title 38, United States Code §544. The two meeting were held at VA Central
Office, Washington, DC, on January 26-29, 2000, and June 5-7, 2000. The
Committee also held a meeting during a visit to Oneida Nation, Green Bay,
Wisconsin, on October 27-29, 1999.

The Committee reviewed several program areas during its meetings and
received briefings from VA officials on such issues as:

VA Medical Research

Veterans Benefits Administration’s Reorganization and Business Re-

engineering Processes

VA’s Women Veterans Programs

Innovations in Veterans Employment and Training Programs

VA Education Program Evaluation

Readjustment Counseling Programs

VA’s Small and Disadvantaged Business Utilization Program

Office of Resolution Management

Minority Health Status from the Office of Minority Health Perspective

Hepatitis C - Diagnosis and Treatment

Update on Puerto Rican Veteran’s Concerns

The Committee also reviewed the status of recommendations from
previous reports and expressed concerns that several recommendations had not
been fully implemented. Selected recommendations are discussed in this report.

The Advisory Committee’s Subcommittee on Outreach proposed a site
visit to the Oneida Nation, Green Bay, Wisconsin. The Committee unanimously
approved the proposal, and the visit was scheduled for October 27-29, 1999.
The visit was conducted to assess the effectiveness of services provided to
veterans living in the Oneida Nation, Green Bay, Wisconsin. While the principal
areas of interest were health care and benefits entitlements, several other areas
were examined based on complaints from veterans in the region.

In addition to meetings with VA officials, Committee members met with
representatives from the Oneida Nation and officials from the Wisconsin
Department of Veterans Affairs. Members also met with veterans and family
members in a town hall meeting conducted at the Oneida Nation. The town hall
meeting was very informative and was supported by VA facility staff. More than
40 veterans attended the town hall meeting.

7
",0,0,0,0
155,"Based on a review of budget reports, briefings from VA staff and an
analysis of funding in Veterans Integrated Services Network 12 (VISN), the
Subcommittee concluded that VA should examine funding for medical care
provided to veterans residing in the Oneida Nation. The Subcommittee also
found that cultural insensitivity barriers adversely affect veterans from the Oneida
Nation when trying to use benefits and other services in Green Bay, WI.
Transportation and access to services are major problems for veterans residing
in the Oneida Nation, as well as other Native American communities.

These issues (problems) are discussed in more detail in this report and
are accompanied by Committee recommendations for improving health care and
the administration of benefits to veterans in the Oneida Nation.

Members of the Subcommittee on Outreach expressed concern that the
Veterans Benefits Administration (VBA) is not conducting aggressive outreach
activities to notify Native American veterans, who are potential beneficiaries, of
the Native American Direct Home Loan Program. While VBA has indicated that
limitations on resources preclude them from conducting outreach as specified by
law, the law has not been change, and therefore the VA do not comply with the
provisions of Public Law 105-297. Further, outreach information briefings, to
make veterans or their surviving family members aware of existing VA programs
and entitlements, are needed to encourage and promote the use of VA programs
and services.

The Subcommittee on Benefits and Compensation concluded that the
Department of Veterans Affairs has not aggressively supported the Filipino
Veterans Benefits Improvement Act of 1999 (H.R. 1594), which contains three
major provisions. The provisions are designed to:

provide 100 percent parity for Filipino service-connected veterans residing

in the United States who were wounded, injured or imprisoned during

World War II (WWII), and who were previously receiving half of the

monthly compensation of their American counterparts;

allow WWII Filipino veterans residing in the United States to be eligible for

health care at VA clinics and hospitals; and

provide an annual funding of $500,000 to the VA Outpatient Clinic in

Manila, Philippines, to treat Filipino veterans.

The Subcommittee expresses serious concern about the
administration of VA benefits to WWII Filipino veterans. Seemingly, VA
has not taken a supportive position on this issue. Committee members
believe that the lack of support and advocacy (by VA) seriously
jeopardizes the passage of legislation to provide full benefits to Filipino
veterans.

8
",0,0,0,0
156,"Report on Site Visit --Green Bay, Wisconsin
Overview:

The visit to Wisconsin served to demonstrate what could be achieved
when all agencies and activities operate as a team and focus on service to the
veteran. We were encouraged by what we heard and saw. In our view, the
Wisconsin programs merit emulation in other states and areas. The detached
comments from officials briefing are included in the minutes, which are attached.
While our focus was on health care, we also reviewed programs relating to other
entitlements and supporting programs.

As outstanding as the program in Wisconsin is, certain areas remain a
challenge. One that is most difficult to solve is the delivering of service to
veterans living in remote areas. They have a specially configured vehicle but
even this cannot overcome the winter weather on the peninsula. This issue is
one that is a wide spread problem from the islands in the Pacific through Alaska
to areas in the South and Northwest. We are actively seeking solution to this
problem. We had already identified this issue.

The sharing agreement between the Oneida Nation and DVA for medical
service provides a relief for the veteran population. This arrangement should
serve to improve the quality of health care.

The plight of homeless veterans and other special need veterans are
being met with varying degrees of success. What Wisconsin VSO’s have
discovered is that once a veteran has been rehabilitated then they need to have
a change of environment from the old community or circumstance thy just left.
Often the only family support they have is from the veteran community. This has
led Wisconsin to provide a fee base domiciliary as part of their overall program.
This helps the veterans help themselves and reduces recidivism by changing the
living conditions.

An area that continues to be illusive is outreach. The committee vies
outreach as the ability of an organization to communicate its programs to the
veteran. This means using all means available media, print, visual, oral, town
Hall meetings and any other programs developed at the local level to get the
word out. We have tremendous research being done but often the results of this
research is not being shared with the health care provides at the lowest level.
This much information is denied to the provider and the veteran. This area is
very weak and needs much intensified management and improvement.

During our visit to Green Bay we also discovered that capable Tribal
Veterans Service Officers (VSO’s) are not being employed because of a glitch in
",0,0,0,0
157,"the system that makes them temporary employees with the attendant lower pay.
While this is qualification driven, the serving staff persons are familiar with the
traditions and culture of the native population as well as the population in general
thereby enhancing the chances to have a successful program. This committee
will investigate the issue of VAO accreditation/certification as well as counselor
qualifications further. We will endeavor to clarify this issue and propose
solutions.
CONCLUSION:
The ACMV visit to Green Bay, Wisconsin was informative for members, Native
American veterans, and other individuals in attendance. The Committee’s visit to
the Oneida Reservation and conducting the THM proved beneficial to gaining a
comprehensive insight to the historical, cultural, socio-political and economic
survival of a people. Support of the efforts made by the Center for Minority
Veterans and ACMV to visit with the Oneida Nation was well received and
appreciated.
We would like to thank the Oneida Nation for its efforts to provide quality services
to its veterans as well as to all other veterans seeking assistance.
Special recognition is extended to the Wisconsin Department of Veterans Affairs
for its leadership in addressing the issues of Native American Veterans and for
establishing the Tribal Coordinator position within the WDVA.
Subcommittee issues developed during this visit are as follows:
10
",0,0,0,0
158,"Subcommittee on Health Care

Recommend that the VA explore other potential civilian partnerships,

which could enhance the accessibility of primary health clinics for all

veterans.

e The Subcommittee is concerned with the disproportionate rate of PTSD in
minority veterans e.g., Native Americans (52-57%), Hispanics (33%), African
Americans (17-19%), and Asians (9%). The disproportionate numbers
suggest the need for a strong cultural influence in the clinical programs
designed to identify and treat minority patients with this diagnosis. The clinical
implications of these disproportionate numbers also strongly suggest the
urgent need for a clinical database that accounts for various minority
populations.

Recommend that the VA develop and implement an outreach / identification

program and a treatment program that is culturally sensitive to each of the

specific minority PTSD groups. Also recommend that the VA immediately
construct and implement a clinical data base which can distinctly identify
each of the minority populations within a clinical diagnosis.

e The Subcommittee commends the efforts of the Center for Minority Veterans
(CMV) to educate program coordinators at the 2""° Annual Minority Veterans
Program Coordinators’ Conference held on October 12-15, 1999, at the
DoubleTree in Crystal City, Virginia. This timely conference covered topics
such as conducting health fairs, getting the support of station directors,
expanding outreach efforts, identifying measurable and reportable care
standards, and sharing best practices.

Recommend that the annual Minority Veterans Coordinators’ Conference

continue to be funded and supported to ensure consistency in and

continuous improvement of all programs.

e The Subcommittee supports the new partnership with HCFA which will
identified alternative Healthcare financing opportunities for Category VII
veterans and their families. Information was distributed to MVPCs about
Medicare and Medicaid benefits, extended care programs for the aged or
disabled, and children and infant programs. Upcoming HCFA social worker
conferences will communicate the needs of Veterans and opportunities to
partner on a local level.

Recommend continued sharing of information and resources to provide the

most comprehensive program of Healthcare to our Veterans.

1]
",0,0,0,0
159,"e The Subcommittee congratulates Dr. Petzel (VISN Director based in MN) for
identifying a clinical access problem within his area and then setting clinical
access standards. The following access standards for all treatment facilities.

Recommend a primary care appointment within 30 days of a request.

Recommend a specialty care appointment within 30 days of a request.

Recommend a face to face meeting with the primary care giver within 30

minutes of the appointment time.

e The Subcommittee shared Dr. Cummings’ (VISN Director of 7 facilities in IL,
WI and Ml) concerns about the disproportionate number of minorities within
her geographic treatment area. As an example, she noted that 50% of the VA
patients in Chicago are African Americans and 70% of all substance abuse
patients are from a minority population. Dr Cummings’ concerns centered
around an unsuccessful outreach program, a staff that is not culturally
reflective of the patient population, clinical research programs that do not
address potential cultural differences, and a lack of patient education
programs that are culturally sensitive to minority populations. The
Subcommittee is gravely concerned about the treatment, educational, and
research implications of a VA staff that does not reflect the cultural diversity of
the patient population that it serves. Of particular concern is the lack of
culturally diverse primary care practitioners who are the first line of contact for
a patient seeking help. The Subcommittee’s recommendations fall into 3
basic categories clinical, education, and research.

Recommend that the VA, specifically the VISNs, ensure that the percentage

of minorities on an outreach staff and the primary care givers staff be

reflective of the percentages of minority patients within that geographic
treatment area. MVPC should be prepared to assist VISN directors in
designing programs to help to meet this standard with suggested minority
marketing and staff recruitment plans. Obstacles to adhering to this
standard should be elevated to the Washington office for assistance.

The VA should establish a cultural sensitivity review policy for each wide-

ranging educational program to ensure program success for all

populations. Additionally, VISNs should elicit the support of local religious
groups, veterans’ organizations and community programs to expand their
educational outreach and treatment patient database.

The VA should establish a cultural sensitivity review policy for each

research program undertaken in the future to ensure that the patient

database and therefore results are reflective of the patient population.
12
",0,0,0,0
160,"e The Subcommittee commends the Milwaukee VAMC director, Glen Grippen
for his strong support of his MVPC’s efforts to establish a professional and
paraprofessional staff distribution that is reflective of the racial make-up of
their patient population. The Subcommittee also applauds Mr. Grippen’s
patient care advances with the use of the electronic medical record, focus on
preventive medicine, use of nurse practitioners for primary care, and use of
tele-medicine for follow-up care. Even so, the Subcommittee cautions that
the cultural diversity of primary care providers, to include nurse practitioners,
must be reflective of the patient population. If not, they risk missing the
appropriate cultural nuances critical for accurate patient histories, patient
treatment plans, and family involvement in a supportive patient care
environment. Of further concern is that 30% of minority veterans do not have
a telephone which would preclude them being a viable candidate for tele-
medicine home care. This discrepancy could lead to skewing program
success rates. The Subcommittee has several recommendations related to
this discussion.

Recommend that all preventive medicine program initiatives include a

cultural sensitivity review to ensure the inclusion of all minority patient

populations.

Recommend that the number of primary care givers, to include nurse

practitioners staff, be reflective of the proportion of minority patients within

that geographic treatment area. This will help to ensure accurate patient
histories, as well as culturally sensitive patient treatment plans and family
involvement plans specific to each minority patient population group.

Recommend that all tele-medicine patient care programs include a

proportionate number of minority patients reflective of that geographical

area. If necessary, the VA should provide the telephone equipment needed
for equitable participation.

e The Subcommittee on Healthcare has not conducted any field visits since the
April 4-9, 1999 Puerto Rico fact-finding visit. The Subcommittee endorses the
opening of three additional clinics on the east end of the island which will
enhance Healthcare accessibility for all veterans in Puerto Rico. Still, the
Subcommittee notes with concern the lack of response to other critical
elements of the previous trip report. Therefore, the Subcommittee reiterates
the following recommendations and eagerly awaits proactive responses.

Recommend that the Under Secretary for Health establish an inpatient

PTSD program in Puerto Rico for veterans residing in the Caribbean region.

(Recommendation # 6, The Committee’s Fifth Annual Report)

Recommend that the Directors of the San Juan, Regional Office, and the

San Juan Medical Center, establish mandatory cultural sensitivity training

13
",0,0,0,0
161,"for employees at their facilities . The Assistant Secretary for Human

Resources and Administration and the Director, VA Center for Minority

Veterans, should assist in the development and implementation of the

training. (Recommendation #8, The Committee’s Fifth Annual Report)

Recommend that the San Juan Regional Office, and Director, San Juan VA

Medical Center, conduct more veterans’ information forums and town hall

meetings in both Puerto Rico and the USVI. The MVPCs at these facilities

should be an integral part of the planning and actual execution of town hall
meetings and information forums. We applaud the appointment of a half
time coordinator at St. Thomas and wish for a comparable appointment or
optimally a full time appointment at the San Juan facility.

(Recommendation #10, The Committee’s Fifth Annual Report.) Additionally

the Subcommittee recommends that such meetings include a major

healthcare element for general patient education and preventive medicine
specifically geared to minority populations.

e The Subcommittee notes with concern an issue raised at the Oneida Nation
Veterans town hall meeting. A Native American Veteran spoke of a patient
who claims that he had not been informed of his responsibility for a financial
co-payment of care received at a Veterans hospital. The patient’s treatment
bill was eventually referred to a collection agency.

Recommend that all VA treatment facilities document disclosure of a

patient’s responsibility for co-payment of fees for care. Also recommend

that public forums and town hall meetings proactively inform the
perspective patient populations of the financial responsibilities of patient
care.

e The Subcommittee notes with great concern the patient care issues raised by
the June 7-10, 1998 visit to Waco and Temple, Texas.

Recommend a revisit by the Healthcare Subcommittee to document the

status of suggested changes noted in the 1998 report to improve the

patient care of minority veterans.

e The Subcommittee also expresses concern for the status of healthcare
provided to minority veterans who reside in the flood-ravaged regions of North
Carolina. Anecdotal evidence suggests that minority veterans residing in
outlying areas are having difficulty accessing timely healthcare services.

Recommend a Subcommittee field visit to this area if the preliminary

investigations warrant an on site visit.

e Given the large proportion of minority Veterans living in metropolitan areas,
the Subcommittee expresses concern for the status of healthcare provided

14
",0,0,0,0
162,"minority veterans in large cities such as Philadelphia, PA; New York, NY;
Newark NJ; and San Francisco, CA.
Recommend on-site visits to these densely populated minority veteran
areas to assess the availability, quality, and appropriateness of the VA
Healthcare provided.

e The Subcommittee continues to express concern about the status of
healthcare available to Minority Veterans now living in the Philippines.
Recommend an on site visit to the Philippines to assess the availability,
quality, and appropriateness of the VA Healthcare provided to minority

veterans.
15
",0,0,0,0
163,"Subcommittee on Outreach
During the Advisory Committee on Minority Veterans’ meeting in Green

Bay, Wisconsin, October 27-29, 1999, guest speakers made the following key

points that related to the role of the Outreach Subcommittee:

e The Wisconsin Department of Veterans Affairs (WDVA) plans to purchase a
mobile van to take services to veterans living in rural and outlying areas. This
“rolling clinic” would be a full-service unit that would be set up to enroll
veterans for health care and other entitlements and, at the same time, provide
basic health-care services.

e WDVA works closely with the Department of Veterans Affairs in partnering
together as a “single network” when reaching out to veterans. This lessens
the confusion on the veterans’ part as to who is responsible for what,
streamlines the delivery of services, speaks to the veterans with a “single
voice” on veterans’ matters, and avoids duplication of effort. (From the
veterans’ perspective, whether the servicing agency is at the federal or state
level is not a concern to the veterans as long as the receive their benefits.)

e WDVA also makes a constant effort to educate the state’s top political officials
about veterans’ issues. This educational awareness is vital especially
awareness is vital especially since the number of veterans in top political and
decision-making positions Is steadily decreasing.

e WDVA conducts a major outreach program at state fairs and community
events, where information is provided to veterans who may be unaware of
veterans’ benefits and programs. At the state fair, veterans representing the
federal and state governments and American Indian tribes are o hand at the
booths to provide information.

e The Oneida Nation’s sharing agreement with the Department of Veterans
Affairs calls for the clinic on the reservation to provide health-care services to
veterans living on the reservation. The clinic in turn bills the DVA for services
provided. This highly successful arrangement is a great service to the
veterans.

e Milwaukee’s homeless program called Vets Central (check name) —
supported by the WDVA’s Veterans Assistance Program — provides
temporary shelter for homeless veterans. At this facility, veterans have the
opportunity for job training and networking to help them in their job search.

By providing these services and a temporary home. Vets Central gives
veterans self-worth that help them to re-build their lives.
16
",0,0,0,0
